,Price,Inventory,Homes_Sold,New_Listings,Unemployment_Rate,GDP,Target_Price_Next_Month,Price_lag1,Price_lag2,Price_lag3,Inventory_lag1,Inventory_lag2,Inventory_lag3,Homes_Sold_lag1,Homes_Sold_lag2,Homes_Sold_lag3,New_Listings_lag1,New_Listings_lag2,New_Listings_lag3,Unemployment_Rate_lag1,Unemployment_Rate_lag2,Unemployment_Rate_lag3,GDP_lag1,GDP_lag2,GDP_lag3
2013-04-01,325950.0,277519.85714285716,482175,730261,7.6,16728.687,345000.0,320000.0,307000.0,285000.0,264344.4285714286,257755.57142857142,252388.42857142858,439181.0,336366.0,327279.0,642959.0,536337.0,518768.0,7.5,7.7,8.0,16701.854333333333,16675.021666666667,16648.189
2013-05-01,345000.0,288283.14285714284,560079,746030,7.5,16803.737333333334,349900.0,325950.0,320000.0,307000.0,277519.85714285716,264344.4285714286,257755.57142857142,482175.0,439181.0,336366.0,730261.0,642959.0,536337.0,7.6,7.5,7.7,16728.687,16701.854333333333,16675.021666666667
2013-06-01,349900.0,294798.0,552715,689251,7.5,16878.787666666667,360000.0,345000.0,325950.0,320000.0,288283.14285714284,277519.85714285716,264344.4285714286,560079.0,482175.0,439181.0,746030.0,730261.0,642959.0,7.5,7.6,7.5,16803.737333333334,16728.687,16701.854333333333
2013-07-01,360000.0,299336.28571428574,575399,688962,7.3,16953.838,353045.0,349900.0,345000.0,325950.0,294798.0,288283.14285714284,277519.85714285716,552715.0,560079.0,482175.0,689251.0,746030.0,730261.0,7.5,7.5,7.6,16878.787666666667,16803.737333333334,16728.687
2013-08-01,353045.0,299710.71428571426,565694,651233,7.2,17033.231666666667,345000.0,360000.0,349900.0,345000.0,299336.28571428574,294798.0,288283.14285714284,575399.0,552715.0,560079.0,688962.0,689251.0,746030.0,7.3,7.5,7.5,16953.838,16878.787666666667,16803.737333333334
2013-09-01,345000.0,301075.71428571426,471383,588311,7.2,17112.625333333333,340500.0,353045.0,360000.0,349900.0,299710.71428571426,299336.28571428574,294798.0,565694.0,575399.0,552715.0,651233.0,688962.0,689251.0,7.2,7.3,7.5,17033.231666666667,16953.838,16878.787666666667
2013-10-01,340500.0,297036.71428571426,471398,576607,7.2,17192.019,340000.0,345000.0,353045.0,360000.0,301075.71428571426,299710.71428571426,299336.28571428574,471383.0,565694.0,575399.0,588311.0,651233.0,688962.0,7.2,7.2,7.3,17112.625333333333,17033.231666666667,16953.838
2013-11-01,340000.0,281341.5714285714,403504,430440,6.9,17193.925333333333,347000.0,340500.0,345000.0,353045.0,297036.71428571426,301075.71428571426,299710.71428571426,471398.0,471383.0,565694.0,576607.0,588311.0,651233.0,7.2,7.2,7.2,17192.019,17112.625333333333,17033.231666666667
2013-12-01,347000.0,255739.42857142858,430151,325338,6.7,17195.83166666667,328100.0,340000.0,340500.0,345000.0,281341.5714285714,297036.71428571426,301075.71428571426,403504.0,471398.0,471383.0,430440.0,576607.0,588311.0,6.9,7.2,7.2,17193.925333333333,17192.019,17112.625333333333
2014-01-01,328100.0,258080.42857142858,318493,504708,6.6,17197.738,335900.0,347000.0,340000.0,340500.0,255739.42857142858,281341.5714285714,297036.71428571426,430151.0,403504.0,471398.0,325338.0,430440.0,576607.0,6.7,6.9,7.2,17195.83166666667,17193.925333333333,17192.019
2014-02-01,335900.0,263640.0,325231,522499,6.7,17304.661333333333,340000.0,328100.0,347000.0,340000.0,258080.42857142858,255739.42857142858,281341.5714285714,318493.0,430151.0,403504.0,504708.0,325338.0,430440.0,6.6,6.7,6.9,17197.738,17195.83166666667,17193.925333333333
2014-03-01,340000.0,275095.71428571426,411083,684579,6.7,17411.58466666667,352000.0,335900.0,328100.0,347000.0,263640.0,258080.42857142858,255739.42857142858,325231.0,318493.0,430151.0,522499.0,504708.0,325338.0,6.7,6.6,6.7,17304.661333333333,17197.738,17195.83166666667
2014-04-01,352000.0,286567.28571428574,465803,766305,6.2,17518.508,360475.0,340000.0,335900.0,328100.0,275095.71428571426,263640.0,258080.42857142858,411083.0,325231.0,318493.0,684579.0,522499.0,504708.0,6.7,6.7,6.6,17411.58466666667,17304.661333333333,17197.738
2014-05-01,360475.0,298647.0,532312,793041,6.3,17613.748,383189.5,352000.0,340000.0,335900.0,286567.28571428574,275095.71428571426,263640.0,465803.0,411083.0,325231.0,766305.0,684579.0,522499.0,6.2,6.7,6.7,17518.508,17411.58466666667,17304.661333333333
2014-06-01,383189.5,310840.28571428574,570838,746829,6.1,17708.988,375000.0,360475.0,352000.0,340000.0,298647.0,286567.28571428574,275095.71428571426,532312.0,465803.0,411083.0,793041.0,766305.0,684579.0,6.3,6.2,6.7,17613.748,17518.508,17411.58466666667
2014-07-01,375000.0,322132.71428571426,562301,717067,6.2,17804.228,367000.0,383189.5,360475.0,352000.0,310840.28571428574,298647.0,286567.28571428574,570838.0,532312.0,465803.0,746829.0,793041.0,766305.0,6.1,6.3,6.2,17708.988,17613.748,17518.508
